"","(Intercept)","Epoch2-1","Epoch3-2","Epoch4-3","Epoch5-4","Probability1","Session1","Epoch2-1:Probability1","Epoch3-2:Probability1","Epoch4-3:Probability1","Epoch5-4:Probability1","Epoch2-1:Session1","Epoch3-2:Session1","Epoch4-3:Session1","Epoch5-4:Session1","Probability1:Session1","Epoch2-1:Probability1:Session1","Epoch3-2:Probability1:Session1","Epoch4-3:Probability1:Session1","Epoch5-4:Probability1:Session1"
"P026G01S02",-0.365996989553411,0.161681809130494,-0.859261005709689,1.43116908295173,-1.52977368560374,2.42681204819164,-0.0968804994508775,0.0204212415503932,-0.500363668411841,2.27328043086051,-2.71890422404452,-0.116891142194779,1.04358863082849,-0.330533605330626,-0.464783515491994,-0.868866497017546,0.183712110258555,0.469140247209646,-0.0185102305544196,-0.623688090485911
"P027G02S01",-0.68843438420881,-0.648667997581042,0.356871018936949,0.305240896656387,-0.934060817647834,1.16572618681486,-0.302394524729473,0.324489228980369,-0.239984355244292,0.60810960812453,0.599388982865436,-0.951677684673046,-1.71317435005114,0.0705350174953176,0.123966858760033,-0.620877790788426,0.125209245588621,-0.81079036778987,-0.27839589042774,0.627745985284147
"P028G02S02",2.03788666474666,0.413867832069809,-0.287949189977001,-0.535269644930734,0.300299314111306,-1.58304346809258,0.207180935281066,0.261602646879943,-0.340281792670824,1.02008311463906,-0.394183655223653,-0.205679261204231,0.520024711655809,-0.0611347966467992,-0.527614188879387,0.195933442991392,-0.20443540145146,0.296353882899931,-1.02925439400699,0.404785223663777
"P029G01S01",-1.11426670721319,-0.318239856481422,1.19580245461764,0.488739769683453,-0.358892914526592,0.590699669814365,-0.886207595278191,-0.791147547958342,0.833362968500985,0.0927298329023407,0.434551643868691,0.762911665335091,-1.35618431117778,0.445956487902812,1.00190730955841,1.13334527042412,0.694250247633359,-0.549697795592949,0.188954397899322,0.844170881139411
"P030G01S02",-0.365676905663597,-0.330999610146855,-0.371780107883536,-0.303293404800266,-0.0137961735603332,0.0964212821055978,0.0819530619743539,-1.40813105959269,0.127177595827452,0.050808964080931,0.156247903355195,-0.525912025342248,-1.18757761729436,-1.0076811653859,1.71794859644758,0.490001111829807,-0.628749588674706,-1.43371524376578,0.263921220710324,0.175572196630687
"P031G02S01",-1.15126723551462,0.73940471987154,0.205282080499608,-2.16516015276467,1.48927114837681,-1.3641467234779,0.614084604652581,0.525842364764469,1.79111422024502,-2.12001237532563,-0.20355824028224,-0.16801330664496,1.86520239526172,0.295326986196638,-1.49445165017041,0.853043066982552,-1.15845803289688,0.41864534946957,0.818366485025912,0.718280362266598
"P032G02S02",1.35250848693749,0.376562121864123,1.22644315186351,0.780728752387192,-1.49454364042822,1.89432134163635,-0.107902373496171,-2.21363724600554,1.71043526061287,-0.340933948597489,-1.8117864249096,0.57005693827139,-0.377692508447317,0.0824822622265723,-0.628462753323763,-0.705572862310103,-1.02222658293533,-0.313834362890436,0.204120144070349,1.20843170236111
"P033G01S01",-0.373003846597231,-0.0385710182512382,-0.828046927791846,0.881801209738572,-1.15079147007224,1.24954808508485,-2.21925623477867,0.43025339535132,-1.71010719280604,2.09525654276933,-0.813516431532786,-0.287169940267416,1.14357884452454,-0.86706469322601,0.0909514730770385,2.05286831976007,-0.681456580552836,1.74972891856177,-0.840788371165002,0.689616244896093
"P034G01S02",0.203718009617144,0.964423718575496,-0.452235734993534,-0.29906972923743,-1.7324263727587,0.260864163766248,1.47730861948639,1.23290568673857,-0.510321207015925,-0.417723148410079,-1.48501063987479,1.17287808811495,0.461506165222423,-0.987575820698542,0.435843305587689,-0.611726488675045,0.745618348726401,0.471734706746891,-0.877543193959911,0.94043034611096
"P035G01S01",-0.478349980105213,-0.287491488169745,0.822563268647838,-0.208179178341216,1.05052588814486,0.838993346889736,-0.850467125586591,0.52971080766989,0.130790449681164,0.6297334548792,-0.615648861381907,-1.11991700770668,1.13679601373009,-1.68982627286821,1.66904793166935,-0.119635557357183,0.344188668641708,1.52197244441751,-0.684060804155623,-0.885285866977444
"P036G02S02",0.882778828963279,0.53546556652752,-0.737056829006278,-1.60459254957201,1.32332654125752,1.03698534669957,-0.164559462541871,2.17170938973676,-1.07174861249258,-1.13464121842588,1.08721421088827,0.521883371633815,-1.11624572204304,-0.36442917966041,0.0361577573077613,0.459829025105444,2.00115285971673,-1.16630966177243,-0.417406310960136,-0.0318255756759071
