"","Ex_gaussian_PVT_mu","Ex_gaussian_PVT_sigma","Ex_gaussian_PVT_tau","Diff1_slopes","Diff2_slopes","Diff3_slopes","Diff.total_slopes","Improb_1","Improb_2","Improb_3","Prob_1","Prob_2","Prob_3","Diff1","Diff2","Diff3","Ratio1.1","Ratio2.1","Ratio3.1","Ratio1.2","Ratio2.2","Ratio3.2","Age","Word_reading","Nonword_reading","Spelling","Vocabulary","Nonword_repetition","Recalling","Matrix_Reasoning","Diff_triplets","Longest","Triplet_Match","Reciprocal","PVT_lapses","median_PVT","Enjoyment"
"Prob_1",-0.115627435014925,0.0352615522802467,0.132281259460882,-0.460740267728629,-0.580646514877841,-0.662728486812271,-0.690916434636609,0.951863453910596,0.785193651372021,0.753857531228686,1,0.878103993257566,0.746561572948696,-0.168905985771519,-0.199882112119635,-0.185945582089949,-0.332412472920219,-0.424921491715768,-0.398996952864317,-0.375862556249955,-0.428558640490397,-0.398618049895728,-0.183460929558627,-0.0849582367359618,-0.240247298444547,-0.180169929613694,-0.354332902549344,0.0883500072298799,0.334623042909256,-0.165591623307158,0.301570249049141,0.167449697748962,0.0759825731418961,-0.383943558422539,0.314349635270795,0.345101174054679,0.117789190026759
"Prob_2",-0.277705304975397,0.091204797833999,0.104407683698172,-0.284382990813705,-0.599866091461455,-0.734842161195851,-0.643169512125489,0.88345011457323,0.934884417356434,0.85010091444513,0.878103993257566,1,0.845166869294621,0.00252973282741878,-0.143814855119047,-0.198451810801219,-0.162114859870575,-0.410248475261073,-0.435966680088421,-0.189084106133059,-0.41117839841236,-0.435632583408312,-0.173499457893937,-0.126998204257959,-0.22088772604234,-0.17307033753458,-0.389515204268119,0.0454788992614701,0.325386984412202,-0.184058287131002,0.0860526935063095,0.0563395101645234,-0.0281130690731941,-0.34646415017872,0.246442206545298,0.314831384713022,0.068235968656579
"Prob_3",-0.129293570494809,0.124792307571099,0.109429048145836,-0.184811069096368,-0.581304112381388,-0.934378791019859,-0.703992618426313,0.762102511434973,0.751269827731432,0.938439510352819,0.746561572948696,0.845166869294621,1,0.0212056900990754,-0.210515471435454,-0.412538581420894,-0.0744736079449992,-0.432651889658717,-0.649695919766287,-0.131752403151019,-0.433024021442027,-0.651946001973287,0.0773715893210726,-0.00387304264243903,-0.0966664624617029,-0.0561122287795977,-0.360101082487748,0.151588108015897,0.322439587600025,-0.211324409299818,0.13229573990177,-0.0331015350797999,-0.0408383156712309,-0.243218460594873,0.256393601430244,0.234969524817109,-0.0398013534495535
"Diff1",0.00816732576225233,-0.224628734736684,-0.248330514702942,0.860963784706958,0.207943501307248,-0.0201839301414428,0.457192630084931,0.112918477085338,0.0966262454452352,-0.0313932649291951,-0.168905985771519,0.00252973282741878,0.0212056900990754,1,0.253352047454942,-0.141764527648804,0.949281274870806,0.226877462006996,-0.108051667067087,0.958929787200561,0.225698950299326,-0.114781862465344,0.0378985092592984,0.0362846894519477,-0.0991355516143742,0.226270886628651,-0.0599134740207531,-0.145767074639331,-0.136812164419247,-0.110269394981943,-0.139695387753212,-0.221148216675808,-0.0810269854806501,0.369668099021653,-0.341653718395151,-0.335770396922765,0.195057264933626
"Diff2",0.118326189133789,-0.192307467645134,-0.0935653465195809,0.319467421803968,0.861406131401015,0.285906878227312,0.603967440534567,-0.125404807101877,0.216812153296218,-0.116316053886921,-0.199882112119635,-0.143814855119047,-0.210515471435454,0.253352047454942,1,0.301076842044086,0.278889269768628,0.955326207998439,0.307748050806488,0.247085591545299,0.955616317105001,0.308553129217468,-0.175915336099698,0.0842560048343663,-0.0090515341742789,0.174055023247674,-0.104242468259357,-0.148584535582519,-0.0323239990691519,0.00324573804643804,-0.0998460693258891,-0.0653477497652206,-0.106253839052122,0.393996013076894,-0.357717399271028,-0.383529525570312,0.159593983512126
"Diff3",-0.042735358743721,-0.0292927635866943,-0.234550645257372,-0.185812461969573,0.346591961726436,0.677134054052904,0.543916981055179,-0.259522000110748,-0.087240926077008,-0.0724640606612291,-0.185945582089949,-0.198451810801219,-0.412538581420894,-0.141764527648804,0.301076842044086,1,-0.217292070175436,0.348202447865021,0.953608266790101,-0.161865771423687,0.351731904821713,0.953780392898031,-0.0566340371825758,0.0377392237517583,-0.0421540201794137,-0.153535318806181,0.255199256229444,-0.274951581836538,-0.0078292042936599,0.176663819835531,-0.116352680170183,-0.0597699951818995,0.0806325186791943,0.124033303753801,-0.318761110052388,-0.131614139928609,-0.109665667801549
"Ratio1.1",0.0221058849933136,-0.205450423674543,-0.16778269445002,0.955253799700611,0.330696632003398,0.015045596827108,0.515425417280977,-0.0431272044849832,-0.0546031142880478,-0.170223262214278,-0.332412472920219,-0.162114859870575,-0.0744736079449992,0.949281274870806,0.278889269768628,-0.217292070175436,1,0.303063351596147,-0.143691006401106,0.999607606136302,0.301782291790921,-0.151761950338295,0.0812365421169224,0.102805606103234,0.0305242867957929,0.220295696634725,-0.100775080070838,0.0342727917564002,0.014020703194339,-0.12887452054416,-0.15454853030848,-0.251651308860511,-0.116216969379916,0.315791188041477,-0.201622947796734,-0.267237744389174,0.10528042148187
"Ratio2.1",0.177258783632986,-0.176187080104338,-0.128633114118152,0.359611624082809,0.966319004323727,0.479213039873055,0.744430092772549,-0.359815436147928,-0.0620397399560191,-0.341658182475797,-0.424921491715768,-0.410248475261073,-0.432651889658717,0.226877462006996,0.955326207998439,0.348202447865021,0.303063351596147,1,0.424676179054774,0.278319824370663,0.999700141927471,0.42503956103815,-0.140947814115341,0.128527924913297,0.0731402654859275,0.224437691430278,0.0123614184316645,-0.127021156956472,-0.0870320057959183,0.044315383074754,-0.155887287493595,-0.116983765929507,-0.111672583682855,0.458709263377907,-0.399144814499025,-0.437110460128253,0.12264736211218
"Ratio3.1",-0.00419613545883186,-0.0690757285697713,-0.240750823251488,-0.0891183067446803,0.471890255444432,0.860178192473972,0.684390128825967,-0.461005118621273,-0.31696617459971,-0.349715635171649,-0.398996952864317,-0.435966680088421,-0.649695919766287,-0.108051667067087,0.307748050806488,0.953608266790101,-0.143691006401106,0.424676179054774,1,-0.0768500008919779,0.427359824599094,0.999762750894426,-0.0533794536821368,0.0450726032194366,0.00235083263912489,-0.0704191757200811,0.338900982995948,-0.269353116822611,-0.103737666775297,0.208282089649321,-0.161285027872949,-0.0602633443106175,0.0830829487043861,0.173758996010926,-0.360976198198083,-0.175105544335289,-0.0920655871650023
"Ratio1.2",0.0207564475987737,-0.205480679499795,-0.22837139423825,0.955642802381909,0.307223626004409,0.0808972042706333,0.554814738418574,-0.0773897287767943,-0.0933583119328485,-0.211309494346435,-0.375862556249955,-0.189084106133059,-0.131752403151019,0.958929787200561,0.247085591545299,-0.161865771423687,0.999607606136302,0.278319824370663,-0.0768500008919779,1,0.278343293463017,-0.0841958645230052,0.0368642588731327,0.0620314664557031,0.0405829164227314,0.277200001949085,-0.0442499731603015,-0.0315329260389273,-0.115311195187196,-0.0676109876659612,-0.193327087508702,-0.286616333541872,-0.10339380072653,0.360316950891647,-0.238055738988863,-0.300037999942312,0.115630032965556
