"","(Intercept)","Block2-1","Block3-2","Block4-3","Block5-4","Probability1","Session1","Session2","Block2-1:Probability1","Block3-2:Probability1","Block4-3:Probability1","Block5-4:Probability1","Block2-1:Session1","Block3-2:Session1","Block4-3:Session1","Block5-4:Session1","Block2-1:Session2","Block3-2:Session2","Block4-3:Session2","Block5-4:Session2","Probability1:Session1","Probability1:Session2","Block2-1:Probability1:Session1","Block3-2:Probability1:Session1","Block4-3:Probability1:Session1","Block5-4:Probability1:Session1","Block2-1:Probability1:Session2","Block3-2:Probability1:Session2","Block4-3:Probability1:Session2","Block5-4:Probability1:Session2"
"P011",1.19649107698511,-0.307066768925937,0.00748137225928981,-1.19839528947712,-0.637646591661026,-1.35106159393372,-0.669781018610092,0.274347283476294,0.461573732546353,-1.09480132093167,-1.0240667396302,-0.104615783090784,1.24546245729372,-0.146421939793086,-1.3472602926323,0.785962495125387,-0.0648713018201456,-0.274495512889223,0.297263141728347,0.914745245696283,1.69965597283076,-0.826702141786772,1.85393639909785,0.122840629190453,0.185339548253625,-0.710859659342807,0.186813107356261,-1.43609769130267,0.187219706547241,0.595370532904567
"P012",-0.238297550062673,0.451739173021974,1.36916842004536,-0.0491236723344208,0.440138594604297,0.893100977587176,0.427772605431146,0.0784265603856654,-0.142688802700297,-0.350370290928319,-0.497782144795685,0.0392892290540519,-0.0374776924998929,-0.684213474829746,-0.963941281190958,0.514092429497202,0.668586964420174,-0.437333981864496,-0.781192542256396,-0.101277717534175,-0.878710247205084,-0.26630280280958,0.783814405211068,-1.07668120716126,-1.16800475523356,0.80477729604588,-0.318778777485066,-0.123781868663608,0.0585563075119572,-0.178145386255935
"P013",0.344327857618195,1.26359721673687,-0.321298968047844,0.411150686535507,-0.0717770804354364,0.91408511217543,0.516766251902988,-0.0358274210297034,0.134861948976112,-0.530574307353057,1.18264345957113,-0.687047934588722,-0.534127616308953,-2.10649174326567,3.38011651523681,-1.66882173062761,-0.694015275147722,1.26370070280369,-1.67474341206857,2.24142410614676,-0.538768033396918,-0.796813745809556,-0.190389492954318,-0.722478779856001,-0.462126013393649,1.23054823226772,-1.21341554686193,0.992051597867919,-0.90433276223945,0.783953965179123
"P014",-0.236546288833427,-1.66699185391916,-0.808812612643478,-1.03083547727449,1.52187830978451,-0.148172179393297,0.84587390618557,1.51794575161613,-1.0529397698082,-0.493392591419429,-0.274987918225941,0.135673086736575,1.02439602688642,0.627759596864555,0.534931850536596,-0.935431510957597,0.628620051338687,0.809130149153146,-1.34860703435154,0.497128555471483,-1.39691515561507,-0.31561863936478,-0.549818216402952,0.941932979120293,-0.752830607588406,-0.610240727290346,-0.060214620044944,0.272190941669513,-0.519577324851739,1.46045518734681
"P015",-1.04902103776938,0.0431986179261426,1.37496835997722,-0.777064836091726,-0.0750158314094672,1.0648831370049,0.814797579885874,0.348974999270734,-1.09361832298271,1.34791270853207,-0.0293033797947481,0.447900949949158,-1.38705888260572,1.15574810769796,-0.406714538600895,0.698773918009888,-2.62673557261805,-0.595614647441716,1.42001069868609,-1.33288953539711,-1.06653366666576,-0.825593360127614,-0.652506728202275,1.1036370619373,-0.0266299395498803,-1.32936561820777,-0.52905432111931,-0.888400251189923,1.13582494068503,-1.37153384404688
"P016",-1.06452262160493,-0.307700508780822,1.19177396778998,1.20042621708081,-1.28675843228325,-0.596788564628417,1.29357360065143,1.71948628373576,0.330909269282219,-0.891043922568757,2.11514986646869,-1.06758381205248,-1.47991749126826,-1.31642473784506,0.55640686145141,1.19448064877122,1.16823530937025,0.607066978862905,-0.608051185031596,-2.29889568574162,-0.777077173434559,0.453481586730568,0.0376043654682151,0.328935771439489,-0.780696073501579,-0.0454980713029238,-0.759542538905492,1.02494560673881,0.718672731859862,-1.31712054392205
"P017",-1.26419168457103,1.98030175526343,-1.31033619178697,1.84943811191661,0.735881494343506,0.662488634505127,3.59023730752269,0.917902732382002,-0.441491208694794,0.20013839538495,0.613087004999177,1.21423492799645,0.610904292587205,-0.244602389425247,-0.998519363055005,-1.46841267873888,-0.526603469554719,0.859178741166198,-0.0810212949189236,0.11570494657095,1.17956744221972,-1.92528500760885,2.58692464103507,-2.23384203122147,0.362623138102377,-0.0767916433704619,-0.211976338530847,1.04143808831977,-1.29814558401251,0.728218981178406
"P018",-0.514919529689906,0.461565935786612,0.683572889181238,-0.139954377034918,-0.422260273515197,-0.28189305747119,1.24858928551999,0.220249959348089,-1.42217768342244,0.569701151778151,-1.18044930113175,0.261847805768001,0.371784452050437,-0.377962316367741,-0.0402855295253891,-1.05374777576165,0.494892047763099,-1.38234397327939,0.957303431313602,-2.08951891222692,0.587550682727108,1.31931383458257,0.690086306487469,-0.00423679004495676,-1.55816251946088,-0.215986550165486,0.976926259835812,-1.79813157154737,-0.844565509977576,0.699031093460973
"P019",-0.539814605729563,-0.878492007043243,-0.410663216877447,1.90289746611924,-0.710639315301781,-0.167356060900514,0.0365196262518896,0.827522187426939,0.975703726466769,-1.27465106477929,2.38790804701235,-1.12466560326041,1.68886235352424,-0.0664250100071363,0.36418359596902,-0.46531681224342,-0.524745526324478,0.445883012889717,0.0922229380798,0.203535375444736,0.787665477213726,0.551553682556129,-0.092349550518706,0.259594941849129,-0.636871154239965,1.42159534879098,-0.205204425953905,0.480305068891969,-0.10477278963542,1.01351040250775
"P020",-0.345041162287035,-0.529109811621273,-0.317871138399288,0.945625778590918,-0.712127679467268,-0.232041318474977,0.658262290710788,0.245519807672027,-2.28116287323631,1.52306486820551,0.193709722339836,-0.871744935939608,0.936320657968255,-1.68197556085002,0.610888417856363,-0.437849742347314,-0.692250641627868,0.111180908191748,0.188145961440612,0.40156938842649,2.44583740846723,2.0814093934988,1.58938956040131,-0.571427757112316,-0.402290105056263,0.937500121408669,0.125915235299516,-0.450147781612405,1.17809622573746,0.16167421080707
