"","V1","V2","BF","lb.CI","ub.CI"
"251","Diff3_slopes","Diff_triplets",0.637250326479088,-0.41560371456736,0.118246897877469
"252","Diff.total_slopes","Diff_triplets",2.16176428755491,-0.501122976279075,0.00647425938943538
"268","Diff1_slopes","Longest",0.491029095949099,-0.38690602646431,0.161959618416132
"269","Diff2_slopes","Longest",0.371333040804246,-0.330635368014764,0.206201120546409
"270","Diff3_slopes","Longest",0.334271477442079,-0.279873030743998,0.267869200268322
"271","Diff.total_slopes","Longest",1.12810428400277,-0.460559969855791,0.0570739040850827
"287","Diff1_slopes","Triplet_Match",0.341084442464392,-0.283226566589736,0.27639773526937
"288","Diff2_slopes","Triplet_Match",0.358957404781537,-0.323932697796935,0.217723152129971
"289","Diff3_slopes","Triplet_Match",0.356064848279301,-0.226605360648824,0.319236626718314
"290","Diff.total_slopes","Triplet_Match",0.372662131565416,-0.331298509606169,0.20603686984235
"306","Diff1_slopes","Reciprocal",1.90149010005543,-0.0194201630218284,0.507261119741428
"307","Diff2_slopes","Reciprocal",64.3964654093585,0.184238562143662,0.635899057830293
"308","Diff3_slopes","Reciprocal",1.14715384955181,-0.0569330976725556,0.468937384321335
"309","Diff.total_slopes","Reciprocal",74.2218230770308,0.195559141511356,0.638280296932256
"325","Diff1_slopes","PVT_lapses",1.65661710499408,-0.502506246456249,0.0291010350137785
"326","Diff2_slopes","PVT_lapses",9.52518088165136,-0.575920707609405,-0.0879350426998846
"327","Diff3_slopes","PVT_lapses",4.6959185801101,-0.553935885464101,-0.0473236556849404
"328","Diff.total_slopes","PVT_lapses",66.6308541582906,-0.638126066282654,-0.186065378250125
"344","Diff1_slopes","median_PVT",1.45765610660919,-0.489235421892785,0.0396735151835724
"345","Diff2_slopes","median_PVT",29.8754021325298,-0.611997361703676,-0.145757696260025
"346","Diff3_slopes","median_PVT",1.11237503309235,-0.468339091363797,0.064110794238833
"347","Diff.total_slopes","median_PVT",29.3137802989276,-0.613726515494805,-0.150004108694323
"363","Diff1_slopes","Enjoyment",0.377124599064199,-0.21627990868592,0.337667327659541
"364","Diff2_slopes","Enjoyment",0.382319108523631,-0.197887602562873,0.338357497585309
"365","Diff3_slopes","Enjoyment",0.336937838514679,-0.288510027788008,0.254416683649731
"366","Diff.total_slopes","Enjoyment",0.348980073113165,-0.228548961931067,0.312602583652685
