"","Ex_gaussian_PVT_mu","Ex_gaussian_PVT_sigma","Ex_gaussian_PVT_tau","Diff1_slopes","Diff2_slopes","Diff3_slopes","Diff.total_slopes","Improb_1","Improb_2","Improb_3","Prob_1","Prob_2","Prob_3","Diff1","Diff2","Diff3","Ratio1.1","Ratio2.1","Ratio3.1","Ratio1.2","Ratio2.2","Ratio3.2","Age","Word_reading","Nonword_reading","Spelling","Vocabulary","Nonword_repetition","Recalling","Matrix_Reasoning","Diff_triplets","Longest","Triplet_Match","Reciprocal","PVT_lapses","median_PVT","Enjoyment"
"Prob_1",-0.119653514287788,0.0566107026625986,0.133629727484788,-0.354066869208503,-0.41496643334941,-0.485152797669754,-0.477823853051853,0.963447784783257,0.838089416061867,0.7407332579819,1,0.887754157099456,0.715321675668566,-0.14160856373965,-0.0609154439898342,-0.19746979282473,-0.33607435103707,-0.315394637594701,-0.420765831065526,-0.330735735949878,-0.316863892640592,-0.418008987376079,-0.177944297292134,-0.071195374316189,-0.214209248793083,-0.138378434947758,-0.382459411617916,0.0928056288704243,0.347359927638271,-0.178993747813829,0.290840374159748,0.169581799147204,0.06773355526056,-0.357510962543039,0.298449644472646,0.312940789225318,0.102822667433002
"Prob_2",-0.280117560378371,0.130237581808484,0.0947424506707022,-0.263386761928641,-0.418677740458613,-0.537461895868138,-0.457048912789792,0.866122369780152,0.965045998402849,0.848952388753877,0.887754157099456,1,0.820971825644157,-0.0858193984097103,-0.00130720788629645,-0.191037151903654,-0.24967729123827,-0.290772776291936,-0.434467500987088,-0.247122152262433,-0.291212272632287,-0.432480606182505,-0.181369419483638,-0.135993824233297,-0.22148332560418,-0.178543259382897,-0.408649624541699,0.0588152787062107,0.354606231129426,-0.178658859888208,0.101650865645135,0.0702677539407965,-0.023320060551756,-0.345350015731094,0.240712355996656,0.311979007519793,0.0603416739841146
"Prob_3",-0.130182450268774,0.156677376622435,0.0748859325063117,-0.146218567891698,-0.406842865276757,-0.811135145078581,-0.535948297919834,0.713017737142264,0.77003168716284,0.960781689192827,0.715321675668566,0.820971825644157,1,-0.0238603951928388,-0.0701446213476976,-0.482999138613093,-0.151648665850125,-0.303326978634703,-0.704157893069447,-0.149418245546499,-0.302637368964154,-0.704433502537817,0.111778222885351,-0.00385815542782156,-0.0842429526692911,-0.0443604301699996,-0.354233410820236,0.15664102753786,0.338294268762396,-0.207708213116281,0.101283812371436,-0.0539436236421248,-0.066054350884119,-0.227080207221564,0.230812809443384,0.213742847539448,-0.0698626398714927
"Diff1",0.0240214919360894,-0.239270561998044,-0.248035361370201,0.934443593721464,0.215007570643744,0.0489275577536619,0.531915063873538,0.102015841721919,-0.0216081964637382,-0.0299112652156178,-0.14160856373965,-0.0858193984097103,-0.0238603951928388,1,0.223907819367351,-0.0255698556678216,0.95891617587625,0.2248385476901,0.00231484304895594,0.962366142973409,0.223441315855833,-0.00123822607355435,0.0563828989790892,0.186892155393654,0.0486573833920448,0.327288176545824,-0.120374325985302,-0.132231042504514,-0.229598821398034,-0.119687613383143,-0.188148476173642,-0.239134068023772,-0.201668160426249,0.413290835802069,-0.371461525938035,-0.395383564434171,0.19589123595265
"Diff2",0.145180046590692,-0.20291284156926,-0.167023730508183,0.210510511009391,0.891070537719651,0.193346937789404,0.596964236602606,-0.00262229072806848,0.260818822317393,-0.00789073877968791,-0.0609154439898342,-0.00130720788629645,-0.0701446213476976,0.223907819367351,1,0.152701914527022,0.208780820738507,0.950626912672766,0.148742488930661,0.211221723682096,0.95122607571531,0.146089625212627,-0.158058517875863,0.195543276325654,0.0250486014026599,0.27830062480335,-0.15650407965125,-0.16147900842076,0.00757062752651578,0.00952634683009286,-0.138540442443826,-0.0906331884803433,-0.258155625375876,0.354800584236198,-0.297769520129888,-0.325590919864767,0.116517280279429
"Diff3",-0.166401766194368,-0.0355200732420754,-0.2122223003374,-0.128385081470815,0.223772596607911,0.822278324757817,0.503232132612544,-0.245801851322742,-0.144477920916182,-0.281213294093428,-0.19746979282473,-0.191037151903654,-0.482999138613093,-0.0255698556678216,0.152701914527022,1,-0.102328671283938,0.213337748234719,0.954637714019256,-0.102835155077892,0.210044519223375,0.955427322774181,0.0238564658398255,0.0714355672543845,-0.0858127146723705,-0.192216507654453,0.355136680656986,-0.364459746104159,-0.11519143951533,0.258944139911617,-0.170732884811033,0.0108877593381926,0.116848215897075,0.0900276167675757,-0.289408113627827,-0.0992909497984798,0.0481500369032823
"Ratio1.1",0.0269710559383215,-0.214222755189655,-0.22806622566388,0.985402346569944,0.285156281474876,0.0650018245997453,0.570018648223341,-0.0747951429904934,-0.183487421366805,-0.193702491318592,-0.33607435103707,-0.24967729123827,-0.151648665850125,0.95891617587625,0.208780820738507,-0.102328671283938,1,0.264590697209345,-0.0150020546961975,0.999741378241333,0.264361058870749,-0.0214354125924041,0.0432578835813063,0.172847567848207,0.139183808352707,0.343050327086681,-0.100602666708268,-0.0155952875697819,-0.181399154543268,-0.0794097943938683,-0.224159923420754,-0.302457399915284,-0.197642904623409,0.380920818468801,-0.245338212229975,-0.33053119240274,0.120413934418737
"Ratio2.1",0.20534816288917,-0.191071616340029,-0.196997007885601,0.25370735127222,0.97942278514019,0.341470094806656,0.691407889489077,-0.257057454198881,-0.0315676728640854,-0.250836916131509,-0.315394637594701,-0.290772776291936,-0.303326978634703,0.2248385476901,0.950626912672766,0.213337748234719,0.264590697209345,1,0.280935724735633,0.265154633510391,0.999811339761752,0.2775471473535,-0.123555899457861,0.240812363787493,0.117096069641862,0.326617944409352,-0.0277290921300738,-0.143036783793025,-0.0560508235701206,0.0517627278292832,-0.210445134548506,-0.159698200392144,-0.280837354279917,0.443379021210394,-0.353994777825849,-0.401741403939238,0.0890940434601377
"Ratio3.1",-0.100842664616854,-0.0939499566926059,-0.204754851577735,-0.0477422108932803,0.323008529696969,0.947047354486141,0.59976407642702,-0.456023697234895,-0.380508244018428,-0.534850357360407,-0.420765831065526,-0.434467500987088,-0.704157893069447,0.00231484304895594,0.148742488930661,0.954637714019256,-0.0150020546961975,0.280935724735633,1,-0.0167898231186252,0.277945704958433,0.999874849186736,0.000719581710476824,0.069993317684117,-0.030150136927081,-0.109884334522698,0.424576824598597,-0.330349034050254,-0.188034712780431,0.267244724678432,-0.195108822929952,-0.00828398161737767,0.102546322638688,0.151675675243834,-0.330061297645767,-0.153412561215218,0.0373422833511559
"Ratio1.2",0.0300034271137384,-0.217731438058073,-0.224766977639968,0.985743968221882,0.285505311430615,0.0638429949521062,0.572012086306239,-0.0690012121834588,-0.180362337532853,-0.191013722947723,-0.330735735949878,-0.247122152262433,-0.149418245546499,0.962366142973409,0.211221723682096,-0.102835155077892,0.999741378241333,0.265154633510391,-0.0167898231186252,1,0.264975078368258,-0.0231554225481626,0.0460313989049854,0.174156643339312,0.134572162442296,0.341892328410449,-0.101949754129501,-0.0169414798984341,-0.183028347875813,-0.0806633417891939,-0.217568486176871,-0.295678256483778,-0.194239351660027,0.381941771064441,-0.247946992524191,-0.333038917460613,0.119623382481908
