"","Ex_gaussian_PVT_mu","Ex_gaussian_PVT_sigma","Ex_gaussian_PVT_tau","Diff1_slopes","Diff2_slopes","Diff3_slopes","Diff.total_slopes","Improb_1","Improb_2","Improb_3","Prob_1","Prob_2","Prob_3","Diff1","Diff2","Diff3","Ratio1.1","Ratio2.1","Ratio3.1","Ratio1.2","Ratio2.2","Ratio3.2","Age","Word_reading","Nonword_reading","Spelling","Vocabulary","Nonword_repetition","Recalling","Matrix_Reasoning","Diff_triplets","Longest","Triplet_Match","Reciprocal","PVT_lapses","median_PVT","Enjoyment"
"Prob_1",0.444144648279005,0.816036249508537,0.392017334550477,0.00164777091587975,2.33345132034657e-05,9.53638889189534e-07,1.06873804917029e-07,0,1.04517505761237e-10,3.48358897284129e-09,NA,1.11022302462516e-15,5.94730931169352e-09,0.267359540898799,0.182911621155012,0.226859350821181,0.0256806611539222,0.00324475324793694,0.00729904108847701,0.0100465736969961,0.00296376855958336,0.00735998618235612,0.222298213418846,0.578973693614744,0.111912050261634,0.236283387423157,0.0156908499041797,0.559306610573299,0.0230243228012219,0.288595552924706,0.0440928571544033,0.271566378565915,0.619836885517146,0.00922152765227979,0.0376967795786975,0.0202493704558331,0.440939794937379
"Prob_2",0.0587650407834748,0.542057585829998,0.494892451468976,0.0613571044542394,8.34073594013773e-06,9.07908548342107e-09,1.08536795195846e-06,4.44089209850063e-16,0,1.49213974509621e-13,1.11022302462516e-15,NA,2.8421709430404e-13,0.986841535480707,0.334834632414792,0.191268564855937,0.28734917745635,0.00418269373077895,0.00275709350300812,0.208201295788861,0.00408946675526067,0.00278025839079099,0.243495554850877,0.400318696412915,0.140160181351924,0.2500527325243,0.00680424606391128,0.761471496676051,0.0256286282288638,0.231693647660893,0.569605750228692,0.709972659469674,0.852867254730938,0.0183371531750784,0.102691315501787,0.0330851874584031,0.652286369978415
"Prob_3",0.397283853255924,0.414056901303726,0.484844822537556,0.241320044849645,2.82274298268881e-05,0,6.84433398845385e-08,1.86077198094381e-09,2.75404943295143e-09,0,5.94730931169352e-09,2.8421709430404e-13,NA,0.892633591360087,0.165120886369202,0.00486047003947276,0.635053769770592,0.00299463243687303,1.3720095997094e-06,0.393929833678765,0.00296709749426549,1.22617350983845e-06,0.613434276628315,0.980093783921661,0.532484507050673,0.717519080102234,0.0151076710801163,0.320209146925171,0.0307582502288402,0.173724486725522,0.386320123268983,0.82909505551639,0.789966757340345,0.111637352245711,0.0969919083759541,0.124703608701064,0.795183824024539
"Diff1",0.957534963715289,0.137945720741344,0.108341332697092,1.31228361510694e-13,0.170465090143058,0.897778818356086,0.00159218464170197,0.460191537390564,0.527760304436542,0.841603778711129,0.267359540898799,0.986841535480707,0.892633591360087,NA,0.0931066386120176,0.364506860149374,0,0.13394275922466,0.490391109953473,0,0.136029679709884,0.463605094307077,0.804780096886399,0.815114327021184,0.522016561671434,0.139693314447421,0.695831625861707,0.339357744825758,0.370166290162353,0.486939111531672,0.36578131002254,0.149124105476721,0.601071442684505,0.0135230468428424,0.0249416169562264,0.0258630292373863,0.204496586202892
"Diff2",0.428274157280182,0.195313731656939,0.540976782227505,0.0345285267902777,7.99360577730113e-15,0.0569225149568549,6.96442880387949e-06,0.406304158508462,0.143237520965013,0.446714967718064,0.182911621155012,0.334834632414792,0.165120886369202,0.0931066386120176,NA,0.0444575389142312,0.0635678277838223,0,0.039729503519415,0.0978278060570605,0,0.0391878639837093,0.236892121887952,0.577720895822838,0.952392847816812,0.247326660796802,0.485608898556626,0.318880325669223,0.829228433576983,0.983317434824255,0.509122152990298,0.666123510462979,0.482174551872635,0.00674417199626642,0.0158416363545335,0.00851100378552294,0.289399793572207
"Diff3",0.780446148702309,0.848515309028251,0.13004163700541,0.238734706139126,0.0196799743494975,3.26160766395134e-07,0.000112563425014534,0.0889051907271996,0.568779607173961,0.636179369734895,0.226859350821181,0.191268564855937,0.00486047003947276,0.364506860149374,0.0444575389142312,NA,0.161608994401334,0.0190800730749177,0,0.293843111279399,0.0178191070001557,0,0.711741151190496,0.807839954270055,0.785861059619071,0.319719401816611,0.0906655582420441,0.0675589245391666,0.95929148188008,0.257102132394812,0.446570879414842,0.696525048628164,0.598515126891884,0.422458676877441,0.0372189782745243,0.394430729972254,0.473296721718739
"Ratio1.1",0.885393575677557,0.175763607007268,0.282172974889264,0,0.0265007238831474,0.923712243226868,0.000290860334395182,0.778483510304485,0.721655329251908,0.275129782989034,0.0256806611539222,0.28734917745635,0.635053769770592,0,0.0635678277838223,0.161608994401334,NA,0.0430041022423093,0.357958271600931,0,0.0439368844099357,0.331305677545676,0.595769175421715,0.506647804758483,0.844068558080718,0.150737976802268,0.510103556884083,0.823142663455372,0.927165651985763,0.415990334957767,0.316497676905475,0.0993834462820173,0.452499523655208,0.0367811613754396,0.194791858953919,0.0794864416661205,0.496415272182736
"Ratio2.1",0.233273421011571,0.236157079281502,0.399719852650223,0.0165056354646773,0,0.00086699967671211,1.99580929560739e-09,0.0140451114589881,0.678676702931388,0.0216175589650036,0.00324475324793694,0.00418269373077895,0.00299463243687303,0.13394275922466,0,0.0190800730749177,0.0430041022423093,NA,0.00364134739927424,0.0610819607703226,0,0.00360941572065476,0.344659600084325,0.394620863697411,0.629054988709047,0.133738131856217,0.934275594303377,0.39487038653681,0.560768601466278,0.775159348863223,0.300891535137021,0.438782320205303,0.45998470791295,0.0013449919731976,0.00660552158717365,0.00238588326971678,0.416783223279588
"Ratio3.1",0.978175374656732,0.652080457272004,0.119907449033429,0.574632845207194,0.00106598977701799,3.73034936274053e-14,2.17405230262813e-07,0.00163628790131876,0.0338812809081204,0.018530537506531,0.00729904108847701,0.00275709350300812,1.3720095997094e-06,0.490391109953473,0.039729503519415,0,0.357958271600931,0.00364134739927424,NA,0.620018399356273,0.00341125521824259,0,0.727650737542749,0.771419674716274,0.987916699502255,0.649666659671553,0.022768433904603,0.0735727902460217,0.497680364540073,0.180146460004429,0.289856762982343,0.694141757374532,0.587409801080541,0.259314697797319,0.017400695811606,0.255583779296788,0.547510203398166
"Ratio1.2",0.891096028595244,0.170701331402076,0.135956920748396,0,0.0378134663453313,0.601656326302673,6.29854946554431e-05,0.609207234827212,0.537161280402451,0.168536249673933,0.0100465736969961,0.208201295788861,0.393929833678765,0,0.0978278060570605,0.293843111279399,0,0.0610819607703226,0.620018399356273,NA,0.061059246382321,0.58686783125242,0.807829288335145,0.68562432026675,0.791250864866433,0.0652563579904459,0.770285439908688,0.835203493356985,0.445400090468607,0.666625393244388,0.203221389129726,0.0562829611283124,0.49911430211611,0.015042652722465,0.119686848599949,0.045233382874762,0.449418494008547
